name_id,entity_type,gender,origin_family,usage_community,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,primary_form_global,primary_form_tt,primary_form_ru,source_id,source_row,status,notes
ttn_011099,given,female,unknown,tatar_registry,Зөләйхабану,Зулейхабану,Zolayxabanu,Zuleikhabanu,Зулейхабану,Зөләйхабану,Зулейхабану,zags_2025,ev_0010083,active,given
ttn_011100,given,female,unknown,tatar_registry,Зөләйхабикә,Зулейхабикя,Zolayxabika,Zuleikhabikia,Зулейхабикя,Зөләйхабикә,Зулейхабикя,zags_2025,ev_0010084,active,given
ttn_011101,given,female,unknown,tatar_registry,Зөлия,Зулия,Zoliya,Zuliia,Зулия,Зөлия,Зулия,zags_2025,ev_0010085,active,given
ttn_011102,given,male,unknown,tatar_registry,Зөлкәбир,Зулькабир,Zolkabir,Zulkabir,Зулькабир,Зөлкәбир,Зулькабир,zags_2025,ev_0003817,active,given
ttn_011103,given,female,unknown,tatar_registry,Зөлкәбирә,Зулькабира,Zolkabira,Zulkabira,Зулькабира,Зөлкәбирә,Зулькабира,zags_2025,ev_0010086,active,given
ttn_011104,surname,male,unknown,tatar_registry,Зөлкәбиров,Зулькабиров,Zolkabirov,Zulkabirov,Зулькабиров,Зөлкәбиров,Зулькабиров,zags_2025,ev_0013911,active,surname
ttn_011105,surname,female,unknown,tatar_registry,Зөлкәбирова,Зулькабирова,Zolkabirova,Zulkabirova,Зулькабирова,Зөлкәбирова,Зулькабирова,zags_2025,ev_0013912,active,surname
ttn_011108,given,female,unknown,tatar_registry,Зөлкагъдә,Зулькагда,Zolkagda,Zulkagda,Зулькагда,Зөлкагъдә,Зулькагда,zags_2025,ev_0010087,active,given
ttn_011109,given,female,unknown,tatar_registry,Зөлкамал,Зулькамал,Zolkamal,Zulkamal,Зулькамал,Зөлкамал,Зулькамал,zags_2025,ev_0010088,active,given
ttn_011110,given,male,unknown,tatar_registry,Зөлкәр,Зулькар,Zolkar,Zulkar,Зулькар,Зөлкәр,Зулькар,zags_2025,ev_0003820,active,given
ttn_011111,given,male,unknown,tatar_registry,Зөлкәрам,Зулькарам,Zolkaram,Zulkaram,Зулькарам,Зөлкәрам,Зулькарам,zags_2025,ev_0003823,active,given
ttn_011112,surname,male,unknown,tatar_registry,Зөлкәрамов,Зулькарамов,Zolkaramov,Zulkaramov,Зулькарамов,Зөлкәрамов,Зулькарамов,zags_2025,ev_0013913,active,surname
ttn_011113,surname,female,unknown,tatar_registry,Зөлкәрамова,Зулькарамова,Zolkaramova,Zulkaramova,Зулькарамова,Зөлкәрамова,Зулькарамова,zags_2025,ev_0013914,active,surname
ttn_011116,given,male,unknown,tatar_registry,Зөлкәрим,Зулькарим,Zolkarim,Zulkarim,Зулькарим,Зөлкәрим,Зулькарим,zags_2025,ev_0003826,active,given
ttn_011117,surname,male,unknown,tatar_registry,Зөлкәримов,Зулькаримов,Zolkarimov,Zulkarimov,Зулькаримов,Зөлкәримов,Зулькаримов,zags_2025,ev_0013915,active,surname
ttn_011118,surname,female,unknown,tatar_registry,Зөлкәримова,Зулькаримова,Zolkarimova,Zulkarimova,Зулькаримова,Зөлкәримова,Зулькаримова,zags_2025,ev_0013916,active,surname
ttn_011121,surname,male,unknown,tatar_registry,Зөлкарнәев,Зулькарнеев,Zolkarnaev,Zulkarneev,Зулькарнеев,Зөлкарнәев,Зулькарнеев,zags_2025,ev_0013917,active,surname
ttn_011122,surname,female,unknown,tatar_registry,Зөлкарнәева,Зулькарнеева,Zolkarnaeva,Zulkarneeva,Зулькарнеева,Зөлкарнәева,Зулькарнеева,zags_2025,ev_0013918,active,surname
